,lfdn,lastpage,quality,duration,Luzerner,Sex,Altergruppe,Beziehungstatus,Quartier,Zuzug,Bildung,HH,Kinder_Schule,Erwerb,Lebensqualallg,Lebensqualallg_Comment-v_238,ArbeitsplatzLuzern,Anbindung_Arbeit-v_89,Umgebung_Arbeit-v_90,Standortattraktivität_Stadt-v_336,Standortattraktivität_LädenInnerStadt-v_337,Standortattraktivität_LädenQuartier-v_338,Standortattraktivität_CoSpace-v_364,IndLaden-v_341,KindQuart_alleineWeg-v_73,KindQuart_OhneAufsicht-v_74,KindQuart_alleineFahrrad-v_75,Kinderbetreuung_mittagTisch-v_152,Kinderbetreuung_bis6Jahr-v_153,Kinderbetreuung_SchulFerien-v_154,Vereinbarkeit-v_269,QuartSpielPlatz-v_274,QuartStrasseSpielPlatz-v_275,Medizin_Versorgungen-v_27,MedZuHause-v_294,Sicherheit_NachtAlleineWeg-v_28,Sicherheit_TagAlleineWeg-v_197,Sicherheit_ZuHause-v_101,zuFrieden_Wohnung-v_78,zuFrieden_unmittelbaren-v_79,zuFrieden_Infrastruk-v_102,unmittelbaren-SpielPlatz-v_354,unmittelbaren-naherholungsgebiet-v_355,unmittelbaren-Grünflaschen-v_356,unmittelbaren-anbindVerkehr-v_357,unmittelbaren-Einkaufsmögli-v_358,unmittelbaren-Freizeiteinrichtungen-v_359,unzufrie_Lärmbelastung-v_83,unzufrie_LuftWassrverschmtng-v_84,unzufrie_schlechteverkhrverbindung-v_85,unzufrie_keinGemeubschaftsgefühl-v_86,unzufrie_zuWenigGrünFlaschen-v_87,unzufrie_Vandalismus-v_105,unzufrie_Gewalt-v_104,unzufrie_Comments-v_88,FreiZeitAktivitäten_Angebot-v_55,FreiZeitAktivitäten_KulturAngebot-v_56,FreiZeitAktivitäten_Kultur_Musik-v_299,FreiZeitAktivitäten_Kultur_Theater-v_300,FreiZeitAktivitäten_Kultur_Kunst-v_301,FreiZeitAktivitäten_Kultur_Literatur-v_302,FreiZeitAktivitäten_Kultur_Film-v_303,FreiZeitAktivitäten_Kultur_Podium-v_304,FreiZeitAktivitäten_Kultur_Vereinsleben-v_305,FreiZeitAktivitäten_Kultur_EssKultur-v_306,FreiZeitAktivitäten_Kultur_Jugendliche-v_307,FreiZeitAktivitäten_Engagement-v_309,StädtischenLebens_Engagement-v_311,WasZum_StädtischenLebens_Engagement-v_310,Sicherheit_öffentVerkehr-v_39,Sicherheit_Auto_unterwegs-v_40,Sicherheit_Velo_unterwegs-v_41,Sicherheit_Fuss_unterwegs-v_42,öffentli_DichteLiniennetzes-v_49,öffentli_Wohnung-v_50,Verbindung_HusStadtZentrum-v_51,Verbindung_Naherholungsgebieten-v_54,Verbindung_zuArbeitSchuleAusbild-v_53,Zfrieden_FüssgangPhase-Dauer-v_187,Zfrieden_Sitzbänke-v_188,VeloParkPlätze_Allgemeinen-v_279,VeloParkPlätze_HauptBahnhof-v_280,VeloZum_öffVerkhr-v_323,VeloZum_Bahnverkehr-v_324,VeloZum_Busverbindungen-v_325,VertrauenStadtverwaltung-v_126,Services_Unkompliziertheit-v_328,Services_SchnellAufbindInfo-v_329,Services_RascheAntwort-v_330,Services_AktiveInfoVeränderungen-v_331,Services_VerständlicheInfo-v_332,Services_Freundlichkeit-v_333,Services_GeograNäheZuBewo-v_335,Services_BarrierFreiheit-v_334,Services_DigitaleAbwicklung-v_361,Services_zuFrieWieEsIst-v_362,Services_Comments-v_363,StadtMöglische-v_316,StadtMöglische-WieZuF-v_106,StadtMöglische-ProjekteEinzubring-v_212,StadtMöglische-ProjekteVorzuschlagen-v_365,StadtMöglische-ProjekteEinzubring_WieZuF-v_366,StadtMöglische-ProjekteVorzuschlagen-WieZuF-v_367,KommKanäle_TagsMedia-v_245,KommKanäle_SocialMedia-v_246,KommKanäle_NewsLetter-v_247,KommKanäle_Stadtmagazin-v_248,KommKanäle_WebSeite-v_249,KommKanäle_StadtApp-v_289,KommKanäle_QuartierApp-v_293,KommKanäle_PinnwändeQuartier-v_291,KommKanäle_WeiterSocialMediaWhatsapp-v_292,KommKanäle_Comment-v_290,UmweltThema_Klimaerwärmung-v_317,UmweltThema_Biodiversität-v_318,UmweltThema_Luftsverschmutzung-v_319,UmweltThema_TrinkWasserSchmutzung-v_320,UmweltThema_VerringerteGrünflächen-v_321,MehrWas_Bäume-v_348,MehrWas_öffntParkanlagen-v_349,MehrWas_ZugangZumSee-v_350,MehrWas_ZugangZumWald-v_351,MehrWas_SpazierWegSee-v_352,MehrWas_SitzgelegenheitenImöffRaum-v_353,MehrWas_Comments-v_360,Älterwerdens_FinanzielleAbsicherung-v_256,Älterwerdens_Mobilität-v_257,Älterwerdens_VerlustSocialContact-v_258,Älterwerdens_VerlustSelbständigkeit-v_259,Älterwerdens_andere-v_260,Älterwerdens_Comments-v_205,OverallComments-v_211,Corona-v_224
1,57,6466756,-77,309,1,1,1,1,5,2,8,4,1,3,5,-99,-77,-77,-77,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,-77,-77,-77,-77,-77,-77,-77,-66,2,3,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,1,-99,1,1,1,1,3,4,1,0,0,0,0,0,1,0,0,-99,1,5,1,4,2,0,1,0,0,1,1,-99,3,4,4,3,4,-99,-99,2
2,58,6468128,-77,21,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-66,-77,-77,-77,-77,-77,-66,-66,-77
3,60,6466756,-77,-1,1,2,3,2,1,1,7,3,2,5,6,"Lebensqualität bedeutet für mich, viele Aktivitäten und Sportarten ausüben zu können, den See und die Berge in Reichweite zu haben, tolle Bars und Restaurants besuchen zu können und sich mit Freunden zu treffen.",-77,-77,-77,2,1,1,5,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,6,5,2,2,1,1,2,1,0,0,1,1,0,1,-77,-77,-77,-77,-77,-77,-77,-66,1,2,0,0,0,0,1,0,1,1,0,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,5,0,0,0,0,0,0,0,0,0,1,-99,2,5,2,2,5,5,1,0,0,0,1,1,0,0,0,-99,2,2,3,3,3,0,1,1,1,0,0,-99,3,3,3,3,5,-99,Rundum zufrieden!,2
4,61,6466756,-77,613,1,1,3,2,5,1,7,1,2,1,6,"See, Berge, schöne stadt, wenig Verkehr, gute Restis, gute Bäckerein, gute bars, sauberkeit",2,-77,-77,2,1,2,2,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,6,5,1,1,1,1,1,1,0,0,1,1,1,0,-77,-77,-77,-77,-77,-77,-77,-66,2,2,1,0,0,0,0,0,1,1,0,1,3,1,1,1,1,1,1,1,1,1,3,1,1,3,3,2,2,2,5,0,0,0,0,0,0,0,0,1,0,-99,1,2,2,2,5,5,0,1,0,0,1,1,0,0,0,-99,2,2,3,3,1,0,1,1,1,0,0,-99,2,3,2,1,0,-99,-99,2
5,62,6466756,-77,570,1,2,3,2,1,2,7,5,2,1,5,"Sich zu Fuss und mit ÖV fortbewegen zu können. Geschäfte, Restaurants, Kinos in der Nähe. Nähe zu Wasser und Natur.",2,-77,-77,2,2,2,5,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,2,5,2,1,1,2,2,2,0,0,1,1,1,0,-77,-77,-77,-77,-77,-77,-77,-66,2,1,1,0,0,0,1,0,0,1,0,2,4,1,2,5,2,1,2,3,5,2,2,2,2,5,5,5,5,5,2,1,1,0,0,0,0,0,0,1,0,-99,2,5,1,2,5,5,0,0,0,1,0,0,0,0,0,-99,2,2,2,2,2,1,0,1,0,1,0,-99,2,2,2,2,0,-99,"Services der Verwaltung digital zur Verfügung stellen. Öffnungszeiten von Banken, Post und Verwaltung ist nicht mit einer Vollzeit Berufstätigkeit vereinbar.",1
6,63,6466756,-77,557,1,1,3,2,1,2,7,5,2,1,6,- Nähe zu Einkaufs und Freizeitmöglichkeiten  - Sauberkeit  - Nähe zur Natur,1,1,2,2,2,2,3,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,1,5,1,1,1,2,1,1,0,1,0,1,1,0,-77,-77,-77,-77,-77,-77,-77,-66,1,1,0,0,0,0,1,0,1,1,0,2,3,1,1,2,3,1,2,2,1,1,1,1,2,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,1,-99,1,2,1,1,2,2,1,1,0,0,1,0,0,0,0,-99,2,2,2,3,2,1,1,0,0,0,1,-99,3,3,2,2,4,-99,Autoverkehr überlastet  Flexiblere Öffnungszeiten,1
7,64,6466756,-77,637,1,2,3,1,1,6,7,5,2,5,5,"Schöne Umgebung/Natur, belebte Innenstadt mit vielen Geschäfte / Restaurants/ Cafes, verschiedene Arbeitsmöglichkeiten (auch Arbeitsplätze, d.h. nicht pendeln), gute Durchmischung der Bevölkerung, gemütliche Atmosphäre. Ausbildungsmöglichkeiten, Ausgangs- und Kulturmöglichkeiten",-77,-77,-77,5,2,1,5,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,1,5,1,1,1,2,1,1,0,0,1,1,1,0,-77,-77,-77,-77,-77,-77,-77,-66,1,2,1,0,0,0,1,0,0,1,0,3,4,4,1,1,2,2,1,1,5,1,1,2,1,3,3,5,5,5,2,1,0,0,1,0,0,0,0,1,0,-99,2,5,2,2,5,5,0,1,0,0,1,1,0,0,0,-99,1,2,1,2,2,0,1,1,0,0,0,-99,3,3,3,2,5,-99,-99,1
8,65,6466756,-77,600,1,2,3,1,1,2,4,5,2,3,5,-Gesundheit  -Mobilität  -Genügend Kulturelle Angebote  -Umwelt zBsp See in der Nähe,-77,-77,-77,3,3,3,5,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,1,5,2,1,1,1,1,1,0,0,0,1,1,1,-77,-77,-77,-77,-77,-77,-77,-66,2,2,1,0,0,0,1,0,0,1,0,1,4,1,1,5,3,1,2,1,5,2,2,1,2,5,5,5,5,5,2,0,0,0,1,0,0,0,0,1,0,-99,2,2,1,2,2,2,1,0,0,0,1,1,0,0,0,-99,2,2,2,3,3,0,0,1,0,0,0,-99,2,3,3,3,0,-99,-mehr Einrichtungen für Stadtbewohner statt für Touristen in der Altstadt,2
9,66,6466756,-77,770,1,2,6,2,1,5,3,2,2,2,5,Die Freiheit in der Stadt.,-77,-77,-77,2,1,2,1,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,1,1,3,3,1,1,1,1,0,0,1,0,0,0,-77,-77,-77,-77,-77,-77,-77,-66,3,1,1,0,0,0,1,0,0,1,0,1,1,1,2,1,3,2,5,1,1,1,4,1,2,1,1,2,5,5,5,1,0,1,0,0,0,0,1,0,0,-99,2,1,2,1,3,2,0,1,1,0,0,1,0,0,0,-99,1,1,1,1,1,1,0,1,1,0,0,-99,3,3,2,1,3,-99,-99,1
10,67,6466756,-77,1428,1,1,3,2,1,2,7,4,2,1,5,"Alle wichtigen Bereiche des Lebens in erreichbarer Nähe zu haben. Also z.B. Natur (Wald), Lebensmittel, Vergnügungsangebote ect. Zur erreichbarkeit trägt natürlich auch der ÖV und die Velofreundlichkeit bei.",2,-77,-77,3,2,2,2,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,1,5,1,1,1,1,1,1,0,0,1,0,0,0,-77,-77,-77,-77,-77,-77,-77,-66,1,2,1,0,0,0,1,0,0,0,0,3,4,1,2,2,3,1,1,1,1,1,1,2,1,3,4,5,5,5,2,0,0,0,0,0,0,0,0,1,0,-99,2,5,2,2,5,5,1,0,0,0,1,0,0,1,0,-99,1,2,2,3,2,1,0,0,0,0,0,-99,2,4,3,3,0,-99,"Ich bin nicht direkt betroffen, aber es scheint zu wenig für die Bildung investiert zu werden. Diese ist aber die wichtigste Investition für die Zukunft um die Stadt  relevant  zu halten was Innovation betrifft.  Zweitens bereitet mir die Entwicklung in Bezug auf den Tourismus etwas Sorgen. Die Stadt sollte diesen nicht zum einzigen Standbein verkommen lassen, denn er schadet nicht nur der Bewegungsfreiheit in der Stadt (Schwanenplatz), sondern auch der Vielfalt der Läden (x-ter Uhrenladen).",1
